Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed or Did Not Get Care, Last 4 Weeks",National Estimate,United States,United States,1,6,June 4 - June 9,2020-06-04,2020-06-09,44.5,43.7,45.3,43.7 - 45.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,18 - 29 years,1,6,June 4 - June 9,2020-06-04,2020-06-09,39.8,37.6,42.2,37.6 - 42.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,6,June 4 - June 9,2020-06-04,2020-06-09,45.1,43.5,46.8,43.5 - 46.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,6,June 4 - June 9,2020-06-04,2020-06-09,47.6,45.7,49.5,45.7 - 49.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,6,June 4 - June 9,2020-06-04,2020-06-09,47.2,45.4,49.0,45.4 - 49.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,6,June 4 - June 9,2020-06-04,2020-06-09,45.2,43.1,47.3,43.1 - 47.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,70 - 79 years,1,6,June 4 - June 9,2020-06-04,2020-06-09,41.2,38.7,43.8,38.7 - 43.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,80 years and above,1,6,June 4 - June 9,2020-06-04,2020-06-09,37.9,32.0,44.1,32.0 - 44.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Male,1,6,June 4 - June 9,2020-06-04,2020-06-09,39.5,38.1,40.8,38.1 - 40.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Female,1,6,June 4 - June 9,2020-06-04,2020-06-09,49.2,48.0,50.4,48.0 - 50.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,6,June 4 - June 9,2020-06-04,2020-06-09,44.5,42.1,46.8,42.1 - 46.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,6,June 4 - June 9,2020-06-04,2020-06-09,44.5,43.5,45.5,43.5 - 45.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,6,June 4 - June 9,2020-06-04,2020-06-09,43.8,41.6,46.1,41.6 - 46.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,6,June 4 - June 9,2020-06-04,2020-06-09,37.2,33.1,41.5,33.1 - 41.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,6,June 4 - June 9,2020-06-04,2020-06-09,54.6,50.0,59.1,50.0 - 59.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,1,6,June 4 - June 9,2020-06-04,2020-06-09,40.8,35.7,46.1,35.7 - 46.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,High school diploma or GED,1,6,June 4 - June 9,2020-06-04,2020-06-09,40.2,38.3,42.2,38.3 - 42.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,1,6,June 4 - June 9,2020-06-04,2020-06-09,47.5,46.1,49.0,46.1 - 49.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,1,6,June 4 - June 9,2020-06-04,2020-06-09,46.5,45.7,47.4,45.7 - 47.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alabama,Alabama,1,6,June 4 - June 9,2020-06-04,2020-06-09,46.4,39.6,53.2,39.6 - 53.2,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alaska,Alaska,1,6,June 4 - June 9,2020-06-04,2020-06-09,49.7,44.2,55.2,44.2 - 55.2,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arizona,Arizona,1,6,June 4 - June 9,2020-06-04,2020-06-09,46.2,42.4,50.2,42.4 - 50.2,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arkansas,Arkansas,1,6,June 4 - June 9,2020-06-04,2020-06-09,45.1,40.0,50.3,40.0 - 50.3,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,California,California,1,6,June 4 - June 9,2020-06-04,2020-06-09,44.8,41.3,48.4,41.3 - 48.4,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Colorado,Colorado,1,6,June 4 - June 9,2020-06-04,2020-06-09,44.2,39.6,48.8,39.6 - 48.8,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Connecticut,Connecticut,1,6,June 4 - June 9,2020-06-04,2020-06-09,48.1,42.3,53.8,42.3 - 53.8,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Delaware,Delaware,1,6,June 4 - June 9,2020-06-04,2020-06-09,50.4,44.6,56.2,44.6 - 56.2,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,1,6,June 4 - June 9,2020-06-04,2020-06-09,49.5,40.6,58.4,40.6 - 58.4,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Florida,Florida,1,6,June 4 - June 9,2020-06-04,2020-06-09,46.5,42.5,50.5,42.5 - 50.5,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Georgia,Georgia,1,6,June 4 - June 9,2020-06-04,2020-06-09,42.3,38.7,45.9,38.7 - 45.9,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Hawaii,Hawaii,1,6,June 4 - June 9,2020-06-04,2020-06-09,35.5,30.1,41.3,30.1 - 41.3,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Idaho,Idaho,1,6,June 4 - June 9,2020-06-04,2020-06-09,42.0,36.1,48.1,36.1 - 48.1,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Illinois,Illinois,1,6,June 4 - June 9,2020-06-04,2020-06-09,50.4,45.7,55.2,45.7 - 55.2,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Indiana,Indiana,1,6,June 4 - June 9,2020-06-04,2020-06-09,46.7,41.2,52.3,41.2 - 52.3,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Iowa,Iowa,1,6,June 4 - June 9,2020-06-04,2020-06-09,42.3,37.4,47.2,37.4 - 47.2,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kansas,Kansas,1,6,June 4 - June 9,2020-06-04,2020-06-09,38.4,34.0,43.0,34.0 - 43.0,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kentucky,Kentucky,1,6,June 4 - June 9,2020-06-04,2020-06-09,48.2,43.1,53.3,43.1 - 53.3,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Louisiana,Louisiana,1,6,June 4 - June 9,2020-06-04,2020-06-09,43.1,38.4,48.0,38.4 - 48.0,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maine,Maine,1,6,June 4 - June 9,2020-06-04,2020-06-09,48.4,42.1,54.7,42.1 - 54.7,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maryland,Maryland,1,6,June 4 - June 9,2020-06-04,2020-06-09,41.7,36.4,47.2,36.4 - 47.2,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,1,6,June 4 - June 9,2020-06-04,2020-06-09,43.6,39.2,48.0,39.2 - 48.0,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,Michigan,1,6,June 4 - June 9,2020-06-04,2020-06-09,46.6,42.8,50.5,42.8 - 50.5,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,6,June 4 - June 9,2020-06-04,2020-06-09,45.2,40.6,49.9,40.6 - 49.9,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,6,June 4 - June 9,2020-06-04,2020-06-09,43.2,37.1,49.6,37.1 - 49.6,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Missouri,Missouri,1,6,June 4 - June 9,2020-06-04,2020-06-09,41.2,36.5,46.0,36.5 - 46.0,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Montana,Montana,1,6,June 4 - June 9,2020-06-04,2020-06-09,44.8,40.6,49.2,40.6 - 49.2,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,6,June 4 - June 9,2020-06-04,2020-06-09,34.9,30.2,39.8,30.2 - 39.8,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nevada,Nevada,1,6,June 4 - June 9,2020-06-04,2020-06-09,39.1,34.2,44.2,34.2 - 44.2,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,6,June 4 - June 9,2020-06-04,2020-06-09,39.9,35.3,44.7,35.3 - 44.7,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,6,June 4 - June 9,2020-06-04,2020-06-09,51.0,45.6,56.3,45.6 - 56.3,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,6,June 4 - June 9,2020-06-04,2020-06-09,43.6,39.4,47.8,39.4 - 47.8,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New York,New York,1,6,June 4 - June 9,2020-06-04,2020-06-09,44.9,40.6,49.2,40.6 - 49.2,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Carolina,North Carolina,1,6,June 4 - June 9,2020-06-04,2020-06-09,38.9,34.5,43.4,34.5 - 43.4,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Dakota,North Dakota,1,6,June 4 - June 9,2020-06-04,2020-06-09,32.3,26.5,38.6,26.5 - 38.6,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Ohio,Ohio,1,6,June 4 - June 9,2020-06-04,2020-06-09,46.1,40.0,52.4,40.0 - 52.4,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,1,6,June 4 - June 9,2020-06-04,2020-06-09,39.6,35.1,44.3,35.1 - 44.3,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oregon,Oregon,1,6,June 4 - June 9,2020-06-04,2020-06-09,49.7,46.1,53.2,46.1 - 53.2,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,1,6,June 4 - June 9,2020-06-04,2020-06-09,44.6,38.8,50.6,38.8 - 50.6,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,1,6,June 4 - June 9,2020-06-04,2020-06-09,41.6,35.6,47.8,35.6 - 47.8,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Carolina,South Carolina,1,6,June 4 - June 9,2020-06-04,2020-06-09,40.1,35.5,44.8,35.5 - 44.8,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Dakota,South Dakota,1,6,June 4 - June 9,2020-06-04,2020-06-09,41.1,34.5,48.0,34.5 - 48.0,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Tennessee,Tennessee,1,6,June 4 - June 9,2020-06-04,2020-06-09,43.3,38.9,47.8,38.9 - 47.8,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Texas,Texas,1,6,June 4 - June 9,2020-06-04,2020-06-09,44.2,41.1,47.3,41.1 - 47.3,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Utah,Utah,1,6,June 4 - June 9,2020-06-04,2020-06-09,38.4,34.4,42.5,34.4 - 42.5,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Vermont,Vermont,1,6,June 4 - June 9,2020-06-04,2020-06-09,48.0,40.8,55.3,40.8 - 55.3,46.6-51.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Virginia,Virginia,1,6,June 4 - June 9,2020-06-04,2020-06-09,41.4,36.5,46.4,36.5 - 46.4,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Washington,Washington,1,6,June 4 - June 9,2020-06-04,2020-06-09,45.8,41.8,49.9,41.8 - 49.9,43.7-46.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,West Virginia,West Virginia,1,6,June 4 - June 9,2020-06-04,2020-06-09,42.1,35.1,49.4,35.1 - 49.4,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,1,6,June 4 - June 9,2020-06-04,2020-06-09,42.1,37.6,46.6,37.6 - 46.6,41.3-43.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wyoming,Wyoming,1,6,June 4 - June 9,2020-06-04,2020-06-09,36.9,30.8,43.3,30.8 - 43.3,32.3-41.2
"Delayed or Did Not Get Care, Last 4 Weeks",National Estimate,United States,United States,1,7,June 11 - June 16,2020-06-11,2020-06-16,44.9,44.1,45.8,44.1 - 45.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,18 - 29 years,1,7,June 11 - June 16,2020-06-11,2020-06-16,40.9,38.8,42.9,38.8 - 42.9,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,7,June 11 - June 16,2020-06-11,2020-06-16,45.6,43.3,47.9,43.3 - 47.9,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,7,June 11 - June 16,2020-06-11,2020-06-16,47.1,45.3,49.0,45.3 - 49.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,7,June 11 - June 16,2020-06-11,2020-06-16,47.1,45.1,49.2,45.1 - 49.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,7,June 11 - June 16,2020-06-11,2020-06-16,46.5,44.2,48.9,44.2 - 48.9,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,70 - 79 years,1,7,June 11 - June 16,2020-06-11,2020-06-16,40.7,37.8,43.7,37.8 - 43.7,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,80 years and above,1,7,June 11 - June 16,2020-06-11,2020-06-16,41.2,35.4,47.2,35.4 - 47.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Male,1,7,June 11 - June 16,2020-06-11,2020-06-16,41.0,39.7,42.4,39.7 - 42.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Female,1,7,June 11 - June 16,2020-06-11,2020-06-16,48.6,47.5,49.6,47.5 - 49.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.3,39.9,44.7,39.9 - 44.7,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,7,June 11 - June 16,2020-06-11,2020-06-16,45.7,44.7,46.7,44.7 - 46.7,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,7,June 11 - June 16,2020-06-11,2020-06-16,43.5,40.8,46.3,40.8 - 46.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,7,June 11 - June 16,2020-06-11,2020-06-16,40.2,36.3,44.3,36.3 - 44.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,7,June 11 - June 16,2020-06-11,2020-06-16,53.5,49.6,57.4,49.6 - 57.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,1,7,June 11 - June 16,2020-06-11,2020-06-16,34.1,30.4,37.8,30.4 - 37.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,High school diploma or GED,1,7,June 11 - June 16,2020-06-11,2020-06-16,39.9,38.1,41.6,38.1 - 41.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,1,7,June 11 - June 16,2020-06-11,2020-06-16,49.2,47.5,50.8,47.5 - 50.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,1,7,June 11 - June 16,2020-06-11,2020-06-16,48.4,47.1,49.7,47.1 - 49.7,
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alabama,Alabama,1,7,June 11 - June 16,2020-06-11,2020-06-16,41.9,35.0,49.0,35.0 - 49.0,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alaska,Alaska,1,7,June 11 - June 16,2020-06-11,2020-06-16,54.6,48.7,60.4,48.7 - 60.4,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arizona,Arizona,1,7,June 11 - June 16,2020-06-11,2020-06-16,45.9,40.7,51.2,40.7 - 51.2,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arkansas,Arkansas,1,7,June 11 - June 16,2020-06-11,2020-06-16,51.2,43.7,58.7,43.7 - 58.7,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,California,California,1,7,June 11 - June 16,2020-06-11,2020-06-16,44.8,41.3,48.3,41.3 - 48.3,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Colorado,Colorado,1,7,June 11 - June 16,2020-06-11,2020-06-16,39.0,34.7,43.5,34.7 - 43.5,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Connecticut,Connecticut,1,7,June 11 - June 16,2020-06-11,2020-06-16,52.5,45.9,59.0,45.9 - 59.0,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Delaware,Delaware,1,7,June 11 - June 16,2020-06-11,2020-06-16,52.3,47.2,57.3,47.2 - 57.3,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,1,7,June 11 - June 16,2020-06-11,2020-06-16,51.6,43.3,59.8,43.3 - 59.8,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Florida,Florida,1,7,June 11 - June 16,2020-06-11,2020-06-16,47.3,42.6,51.9,42.6 - 51.9,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Georgia,Georgia,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.8,38.3,47.4,38.3 - 47.4,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Hawaii,Hawaii,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.0,36.7,47.5,36.7 - 47.5,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Idaho,Idaho,1,7,June 11 - June 16,2020-06-11,2020-06-16,40.9,35.3,46.7,35.3 - 46.7,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Illinois,Illinois,1,7,June 11 - June 16,2020-06-11,2020-06-16,48.8,44.5,53.2,44.5 - 53.2,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Indiana,Indiana,1,7,June 11 - June 16,2020-06-11,2020-06-16,43.8,37.4,50.4,37.4 - 50.4,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Iowa,Iowa,1,7,June 11 - June 16,2020-06-11,2020-06-16,40.9,36.3,45.7,36.3 - 45.7,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kansas,Kansas,1,7,June 11 - June 16,2020-06-11,2020-06-16,45.7,39.9,51.7,39.9 - 51.7,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kentucky,Kentucky,1,7,June 11 - June 16,2020-06-11,2020-06-16,43.4,38.6,48.2,38.6 - 48.2,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Louisiana,Louisiana,1,7,June 11 - June 16,2020-06-11,2020-06-16,40.9,34.7,47.3,34.7 - 47.3,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maine,Maine,1,7,June 11 - June 16,2020-06-11,2020-06-16,54.3,48.7,59.8,48.7 - 59.8,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maryland,Maryland,1,7,June 11 - June 16,2020-06-11,2020-06-16,41.0,36.4,45.7,36.4 - 45.7,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,1,7,June 11 - June 16,2020-06-11,2020-06-16,45.3,41.2,49.5,41.2 - 49.5,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,Michigan,1,7,June 11 - June 16,2020-06-11,2020-06-16,51.1,47.4,54.8,47.4 - 54.8,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.9,37.5,48.5,37.5 - 48.5,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.7,36.3,49.4,36.3 - 49.4,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Missouri,Missouri,1,7,June 11 - June 16,2020-06-11,2020-06-16,39.7,36.0,43.5,36.0 - 43.5,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Montana,Montana,1,7,June 11 - June 16,2020-06-11,2020-06-16,46.1,39.9,52.3,39.9 - 52.3,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,7,June 11 - June 16,2020-06-11,2020-06-16,40.3,34.4,46.4,34.4 - 46.4,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nevada,Nevada,1,7,June 11 - June 16,2020-06-11,2020-06-16,44.0,38.4,49.7,38.4 - 49.7,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,7,June 11 - June 16,2020-06-11,2020-06-16,49.3,43.0,55.6,43.0 - 55.6,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,7,June 11 - June 16,2020-06-11,2020-06-16,49.6,44.1,55.0,44.1 - 55.0,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.9,37.0,49.0,37.0 - 49.0,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New York,New York,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.2,37.3,47.1,37.3 - 47.1,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Carolina,North Carolina,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.0,37.0,47.1,37.0 - 47.1,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Dakota,North Dakota,1,7,June 11 - June 16,2020-06-11,2020-06-16,38.4,31.4,45.7,31.4 - 45.7,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Ohio,Ohio,1,7,June 11 - June 16,2020-06-11,2020-06-16,41.1,36.3,46.1,36.3 - 46.1,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.6,36.9,48.4,36.9 - 48.4,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oregon,Oregon,1,7,June 11 - June 16,2020-06-11,2020-06-16,48.2,43.8,52.5,43.8 - 52.5,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,1,7,June 11 - June 16,2020-06-11,2020-06-16,49.4,44.2,54.6,44.2 - 54.6,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,1,7,June 11 - June 16,2020-06-11,2020-06-16,41.8,35.1,48.6,35.1 - 48.6,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Carolina,South Carolina,1,7,June 11 - June 16,2020-06-11,2020-06-16,43.9,37.8,50.2,37.8 - 50.2,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Dakota,South Dakota,1,7,June 11 - June 16,2020-06-11,2020-06-16,38.7,31.1,46.7,31.1 - 46.7,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Tennessee,Tennessee,1,7,June 11 - June 16,2020-06-11,2020-06-16,43.6,37.5,49.9,37.5 - 49.9,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Texas,Texas,1,7,June 11 - June 16,2020-06-11,2020-06-16,42.8,38.6,47.1,38.6 - 47.1,42.0-43.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Utah,Utah,1,7,June 11 - June 16,2020-06-11,2020-06-16,40.9,35.5,46.4,35.5 - 46.4,38.4-41.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Vermont,Vermont,1,7,June 11 - June 16,2020-06-11,2020-06-16,45.6,38.8,52.4,38.8 - 52.4,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Virginia,Virginia,1,7,June 11 - June 16,2020-06-11,2020-06-16,45.0,39.8,50.4,39.8 - 50.4,44.0-49.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Washington,Washington,1,7,June 11 - June 16,2020-06-11,2020-06-16,50.8,46.7,54.9,46.7 - 54.9,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,West Virginia,West Virginia,1,7,June 11 - June 16,2020-06-11,2020-06-16,51.9,44.7,59.0,44.7 - 59.0,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,1,7,June 11 - June 16,2020-06-11,2020-06-16,50.0,44.9,55.2,44.9 - 55.2,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wyoming,Wyoming,1,7,June 11 - June 16,2020-06-11,2020-06-16,51.3,42.7,59.8,42.7 - 59.8,49.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",National Estimate,United States,United States,1,8,June 18 - June 23,2020-06-18,2020-06-23,45.5,44.6,46.4,44.6 - 46.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,18 - 29 years,1,8,June 18 - June 23,2020-06-18,2020-06-23,41.8,39.9,43.7,39.9 - 43.7,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,8,June 18 - June 23,2020-06-18,2020-06-23,46.4,44.7,48.2,44.7 - 48.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,8,June 18 - June 23,2020-06-18,2020-06-23,47.8,45.9,49.7,45.9 - 49.7,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,8,June 18 - June 23,2020-06-18,2020-06-23,50.2,48.4,52.1,48.4 - 52.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,8,June 18 - June 23,2020-06-18,2020-06-23,44.8,42.9,46.7,42.9 - 46.7,
